,Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,year,City_Name,Crime_Description,Population,Crime Rate
0,2,01-01-2020 19:00,01-01-2020 01:00,01-01-2020 06:26,4,128,10,37,M,5,Other Crime,9,No,,2020,Chennai,HOMICIDE,12053697,20.7
1,3,02-01-2020 05:00,01-01-2020 02:00,01-01-2020 14:30,15,271,13,48,F,0,Other Crime,15,No,,2020,Ludhiana,KIDNAPPING,1988438,38.3
2,4,01-01-2020 05:00,01-01-2020 03:00,01-01-2020 14:46,21,170,2,49,F,2,Other Crime,1,Yes,29-04-2020 05:00,2020,Pune,BURGLARY,7345848,30.1
3,5,01-01-2020 21:00,01-01-2020 04:00,01-01-2020 16:51,21,421,19,30,F,4,Other Crime,18,Yes,08-01-2020 21:00,2020,Pune,VANDALISM,7345848,30.1
4,6,02-01-2020 03:00,01-01-2020 05:00,01-01-2020 17:09,5,442,1,16,M,2,Violent Crime,18,Yes,30-03-2020 03:00,2020,Delhi,ASSAULT,33807403,16.0
5,7,01-01-2020 16:00,01-01-2020 06:00,01-01-2020 14:08,4,172,20,64,F,3,Violent Crime,13,Yes,24-03-2020 16:00,2020,Chennai,VEHICLE - STOLEN,12053697,20.7
6,8,02-01-2020 10:00,01-01-2020 07:00,02-01-2020 06:33,4,169,3,78,X,3,Other Crime,8,No,,2020,Chennai,COUNTERFEITING,12053697,20.7
7,9,04-01-2020 03:00,01-01-2020 08:00,02-01-2020 06:34,17,338,7,41,X,0,Other Crime,1,No,,2020,Mumbai,EXTORTION,21673149,20.4
8,10,03-01-2020 07:00,01-01-2020 09:00,01-01-2020 17:50,4,497,14,29,M,3,Other Crime,4,No,,2020,Chennai,PUBLIC INTOXICATION,12053697,20.7
9,11,02-01-2020 13:00,01-01-2020 10:00,01-01-2020 19:42,5,260,9,71,M,1,Other Crime,5,Yes,01-02-2020 13:00,2020,Delhi,FRAUD,33807403,16.0
10,12,03-01-2020 09:00,01-01-2020 11:00,01-01-2020 22:16,24,563,11,26,M,5,Violent Crime,3,No,,2020,Surat,IDENTITY THEFT,8330528,13.3
11,13,01-01-2020 16:00,01-01-2020 12:00,01-01-2020 23:14,28,498,9,36,F,5,Other Crime,3,Yes,29-02-2020 16:00,2020,Visakhapatnam,FRAUD,2385110,30.5
12,14,02-01-2020 22:00,01-01-2020 13:00,01-01-2020 17:46,17,436,1,32,X,6,Violent Crime,18,No,,2020,Mumbai,ASSAULT,21673149,20.4
13,15,02-01-2020 00:00,01-01-2020 14:00,01-01-2020 22:28,2,266,16,77,F,6,Violent Crime,19,No,,2020,Bangalore,SEXUAL ASSAULT,14008262,25.6
14,16,02-01-2020 07:00,01-01-2020 15:00,01-01-2020 18:54,13,357,3,51,F,1,Other Crime,16,Yes,30-03-2020 07:00,2020,Kolkata,COUNTERFEITING,155707786,1.6
